,room_type_Entire home/apt,accommodates,gym,bedrooms,dishwasher,kitchen,longitude,room_type_Hotel room,latitude,refrigerator,cable_tv,pool,neighbourhood_Near North Side,reviews_per_month,neighbourhood_Albany Park,indoor_fireplace,minimum_nights,calculated_host_listings_count,availability_365,iron,neighbourhood_Loop,washer,room_type_Shared room,review_scores_rating,number_of_reviews,neighbourhood_Lincoln Park,neighbourhood_Washington Park,heating,hair_dryer,stove,neighbourhood_Lake View,neighbourhood_Logan Square,neighbourhood_Near West Side,room_type_Private room,maximum_nights,neighbourhood_East Garfield Park,hot_water,microwave,neighbourhood_South Chicago,neighbourhood_Uptown,neighbourhood_Belmont Cragin,neighbourhood_Oakland,neighbourhood_Englewood,neighbourhood_New City,neighbourhood_Austin,dryer,neighbourhood_Dunning
0,0,0.0,0,1.0,0,1,-87.5878,0,41.7879,1,0,0,0,0.8960880245566357,0,0,0.0,0.0,338,1,0,1,0,1.6074359097634274,5.220355825078324,0,0,1,1,1,0,0,0,1,4.499809670330265,0,2,1,0,0,0,0,0,0,0,2,0
1,1,0.6931471805599453,0,1.0,0,1,-87.68021,0,41.90166,1,0,0,0,1.199964782928397,0,0,0.6931471805599453,0.0,59,1,0,0,0,1.5390154481375546,5.993961427306569,0,0,1,1,1,0,0,0,0,4.0943445622221,0,1,1,0,0,0,0,0,0,0,1,0
2,1,1.3862943611198906,0,2.0,0,1,-87.63981,0,41.91196,1,1,0,0,-1.1394342831883648,0,0,1.3862943611198906,2.302585092994046,102,1,0,1,0,1.5040773967762742,3.332204510175204,1,0,1,1,1,0,0,0,0,5.19295685089021,0,1,1,0,0,0,0,0,0,0,2,0
3,1,0.6931471805599453,0,1.0,1,1,-87.63213,0,41.90491,1,1,0,1,-1.9661128563728327,0,0,1.9459101490553132,0.0,242,1,0,1,0,1.5539252025038417,2.3978952727983707,0,0,1,1,1,0,0,0,0,5.19295685089021,0,1,1,0,0,0,0,0,0,0,2,0
4,0,0.6931471805599453,0,1.0,0,0,-87.64947,0,41.92357,0,1,0,0,-2.3025850929940455,0,0,0.6931471805599453,0.0,165,1,0,0,0,1.6094379124341003,1.9459101490553132,1,0,1,1,0,0,0,0,1,1.9459101490553132,0,1,0,0,0,0,0,0,0,0,1,0
5,1,1.3862943611198906,0,2.0,1,1,-87.65889,0,41.8973,1,1,1,0,-2.3025850929940455,0,1,4.795790545596741,0.0,273,1,0,1,0,1.541159071680806,2.1972245773362196,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
6,1,1.0986122886681098,0,1.0,1,1,-87.656364,0,41.925961,1,1,0,0,-1.1086626245216111,0,0,3.4657359027997265,1.3862943611198906,252,1,0,1,0,1.451613827240533,3.6109179126442243,1,0,1,1,1,0,0,0,0,5.978885764901122,0,2,1,0,0,0,0,0,0,0,2,0
7,1,1.791759469228055,0,2.0,1,1,-87.65573,0,41.92499,1,1,0,0,0.43178241642553783,0,0,3.4657359027997265,1.3862943611198906,238,1,0,1,0,1.472472057360943,3.8501476017100584,1,0,1,1,1,0,0,0,0,5.703782474656201,0,1,1,0,0,0,0,0,0,0,2,0
8,1,1.791759469228055,0,3.0,1,1,-87.67931,0,41.92138,1,1,0,0,-0.23572233352106983,0,0,0.6931471805599453,0.0,175,1,0,1,0,1.545432582458188,4.574710978503383,0,0,1,1,1,0,1,0,0,2.302585092994046,0,1,1,0,0,0,0,0,0,0,2,0
9,0,0.6931471805599453,0,1.0,1,1,-87.66566999999999,0,41.97303,1,1,0,0,0.7227059828014898,0,1,1.0986122886681098,0.6931471805599453,0,1,0,1,0,1.6074359097634274,5.521460917862246,0,0,1,1,1,0,0,0,1,7.025538314638521,0,1,0,0,1,0,0,0,0,0,2,0
10,1,1.3862943611198906,0,1.0,1,1,-87.61871,0,41.84576,1,0,0,0,-1.7147984280919266,0,0,0.6931471805599453,0.0,260,1,0,1,0,1.5602476682433286,3.091042453358316,0,0,1,1,1,0,0,0,0,4.499809670330265,0,1,1,0,0,0,0,0,0,0,2,0
